品类,二级品类,版型(细分品类),代际,品牌,货号,销量,状态,本代升级情况,细分品类后续升级思路,竞品参考链接,数据来源,数据来源sheet
护腕,双向护腕,双向透气护腕,一代,JAFFICK,,,未知,可在博凯直接复制TMT,,,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向透气护腕,一代,ANTA,,,未知,等待SERUNA打样成功后可补齐,,,护腕货盘.xlsx,2026年4月
护腕,双向护腕,双向透气护腕,二代,SERUNA,C-HW115,1723-160=1563,已量产,2026.2上架,,,护腕货盘.xlsx,2026年4月
护腕,双向护腕,羽毛球双向护腕,一代,TMT,HW65,17-3=14+1=15,已量产,2025.07上架 / 清仓中,,,护腕货盘.xlsx,2026年4月
护腕,双向护腕,腱鞘炎双向护腕,一代,TMT,HW87,57-7=50,已量产,2025.12上架,,,护腕货盘.xlsx,2026年4月
护腕,单向护腕,单向扭伤护腕,一代,TMT,HW27,35-10=25,已量产,,工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,,护腕货盘.xlsx,2026年4月
护腕,单向护腕,单向扭伤护腕,一代,SERUNA,HW27,,未知,,工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,,护腕货盘.xlsx,2026年4月
护腕,单向护腕,单向扭伤护腕,一代,ANTA,9825172527,183-17=166,已量产,,工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,,护腕货盘.xlsx,2026年4月
护腕,单向护腕,单向扭伤护腕,二代,SERUNA,HW45,0,已量产,,工艺从纯缝线改为热压＋缝线。更精致（参考李宁、蜗牛）,https://detail.tmall.com/item.htm?abbucket=6&id=785482207904&mi_id=0000OkTfX96sqSQA4gIGMGvtjHRvNeI6WEbAR4nnhYPwi6A&ns=1&priceTId=2150477a17636313787343402e195a&skuId=5535210443394&spm=a21n57.sem.item.58.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22a470d246a1f038964f9af9c064cd6a25%22%7D&xxc=taobaoSearch | https://detail.tmall.com/item.htm?abbucket=6&id=937693751344&mi_id=00009CUWScyRfubDbfisiD9zw94_RWdDuZcovQ74hGSaifU&ns=1&priceTId=2150498a17636316182582795e1924&skuId=6054284147680&spm=a21n57.sem.item.192.7abc3903FTNLhH&utparam=%7B%22aplus_abtest%22%3A%22c20d35a4333f0894a01b26f603b2520a%22%7D&xxc=taobaoSearch,护腕货盘.xlsx,2026年4月
护腕,单向护腕,单向网孔护腕,未标注,ANTA,9825172529,65-6=59,已量产,,目前为大网孔面料，等待面料实验完成后可改为小网孔材料边缘更精致,,护腕货盘.xlsx,2026年4月
护腕,单向护腕,单向双层护腕,未标注,TMT,HW37,163-50=113,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,单向护腕,单向双层护腕,未标注,JAFFICK,,,未知,已有JAFFICK二代视觉在升级 （打样中）,,,护腕货盘.xlsx,2026年4月
护腕,单向护腕,单向双层护腕,未标注,ANTA,9825172528,137-7=130,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,TFCC,轻薄TFCC,一代,TMT,HW25,159-28=131,已量产,,①换透气网眼面料 / ②升级缝线工艺 / ③增加暖敷帖,,护腕货盘.xlsx,2026年4月
护腕,TFCC,轻薄TFCC,一代,SERUNA,HW25,,未知,,①换透气网眼面料 / ②升级缝线工艺 / ③增加暖敷帖,,护腕货盘.xlsx,2026年4月
护腕,TFCC,轻薄TFCC,二代,TMT,C-HW49-K,16-6=10,已量产,2026.02上架,①换透气网眼面料 / ②升级缝线工艺 / ③增加暖敷帖,,护腕货盘.xlsx,2026年4月
护腕,TFCC,轻薄TFCC,二代,SERUNA,HW49,1088-189=899,已量产,,①换透气网眼面料 / ②升级缝线工艺 / ③增加暖敷帖,,护腕货盘.xlsx,2026年4月
护腕,TFCC,轻薄TFCC,二代,JAFFICK,HW83,9-4=5,已量产,2025.10上架,①换透气网眼面料 / ②升级缝线工艺 / ③增加暖敷帖,,护腕货盘.xlsx,2026年4月
护腕,TFCC,轻薄TFCC,三代,SERUNA,HW121,13,已量产,2026.4上架,①换透气网眼面料 / ②升级缝线工艺 / ③增加暖敷帖,,护腕货盘.xlsx,2026年4月
护腕,TFCC,轻薄拇指腱鞘炎,一代,SERUNA,HW81,1593-255=1338,已量产,2025.10上架,,,护腕货盘.xlsx,2026年4月
护腕,TFCC,轻薄拇指腱鞘炎,一代,JAFFICK,C-HW119,363-93=270,已量产,2026.4上架,,,护腕货盘.xlsx,2026年4月
护腕,TFCC,轻薄拇指腱鞘炎,二代,SERUNA,C-HW125,157-13=144,已量产,2026.4上架,,,护腕货盘.xlsx,2026年4月
护腕,TFCC,拇指腱鞘炎,一代,SERUNA,HW19,11-2=9,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,TFCC,TFCC护腕,一代,TMT,HW23,1390-172=1218+288=1506,已量产,,参考tmt针织TFCC护腕增加防滑扣,,护腕货盘.xlsx,2026年4月
护腕,TFCC,TFCC护腕,一代,SERUNA,HW23,,未知,,参考tmt针织TFCC护腕增加防滑扣,,护腕货盘.xlsx,2026年4月
护腕,TFCC,TFCC护腕,一代,JAFFICK,HW23,,未知,,参考tmt针织TFCC护腕增加防滑扣,,护腕货盘.xlsx,2026年4月
护腕,TFCC,压胶TFCC护腕,一代,TMT,HW53-T,372-142=230,已量产,2025.11上架,,,护腕货盘.xlsx,2026年4月
护腕,TFCC,压胶TFCC护腕,一代,SERUNA,HW53,2190-346=1844+1768=3612,已量产,新面料＋透气网眼升级完成,,,护腕货盘.xlsx,2026年4月
护腕,TFCC,压胶TFCC护腕,一代,JAFFICK,C-HW107,三月：64-6=58,已量产,2026.02上架,,,护腕货盘.xlsx,2026年4月
护腕,TFCC,胶牌TFCC护腕,一代,TMT,HW91,1034-261=773,已量产,2025.11上架,,,护腕货盘.xlsx,2026年4月
护腕,TFCC,双条TFCC护腕,一代,TMT,HW117,313-104=209,已量产,2026.01上架,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织运动护腕,一代,TMT,B10,15-1=14,已量产,清仓中,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织运动护腕,一代,SERUNA,HW73,0,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织保暖护腕1,一代,TMT,B29,13,已量产,清仓中,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织保暖护腕2,一代,TMT,HW13\B74\BS39,,未知,清仓中,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织保暖护腕3,一代,TMT,HW11,3,已量产,清仓中,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织TFCC,一代,TMT,HW103,58-165=42,已量产,2025.12上架,后续考虑跟换套筒面料升级为夏季款参考特步,https://detail.tmall.com/item.htm?ali_refid=a3_420434_1006%3A1745744328%3AH%3AoikB22y1qn5XHb%2BurvZZv0f5NqrT%2FDvG%3Af5ab5b659252c1901db1768ff138a172&ali_trackid=282_f5ab5b659252c1901db1768ff138a172&id=917530403467&mi_id=0000ZFWZx6CTRUbTDRYiQzmY46FVuufjI3Al4TCv16WCM4U&mm_sceneid=1_0_6615118770_0&priceTId=214786e017637063401916152e1a53&skuId=5862738729737&spm=a21n57.1.hoverItem.24&utparam=%7B%22aplus_abtest%22%3A%222e69eafd82fdd241b629ae37ff080c67%22%7D&xxc=ad_ztc,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织TFCC,一代,SERUNA,C-HW127,157-13=144,已量产,已有SERUNA升级中,后续考虑跟换套筒面料升级为夏季款参考特步,https://detail.tmall.com/item.htm?ali_refid=a3_420434_1006%3A1745744328%3AH%3AoikB22y1qn5XHb%2BurvZZv0f5NqrT%2FDvG%3Af5ab5b659252c1901db1768ff138a172&ali_trackid=282_f5ab5b659252c1901db1768ff138a172&id=917530403467&mi_id=0000ZFWZx6CTRUbTDRYiQzmY46FVuufjI3Al4TCv16WCM4U&mm_sceneid=1_0_6615118770_0&priceTId=214786e017637063401916152e1a53&skuId=5862738729737&spm=a21n57.1.hoverItem.24&utparam=%7B%22aplus_abtest%22%3A%222e69eafd82fdd241b629ae37ff080c67%22%7D&xxc=ad_ztc,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织TFCC,一代,JAFFICK,HW97,446-58=338,已量产,2025.10上架,后续考虑跟换套筒面料升级为夏季款参考特步,https://detail.tmall.com/item.htm?ali_refid=a3_420434_1006%3A1745744328%3AH%3AoikB22y1qn5XHb%2BurvZZv0f5NqrT%2FDvG%3Af5ab5b659252c1901db1768ff138a172&ali_trackid=282_f5ab5b659252c1901db1768ff138a172&id=917530403467&mi_id=0000ZFWZx6CTRUbTDRYiQzmY46FVuufjI3Al4TCv16WCM4U&mm_sceneid=1_0_6615118770_0&priceTId=214786e017637063401916152e1a53&skuId=5862738729737&spm=a21n57.1.hoverItem.24&utparam=%7B%22aplus_abtest%22%3A%222e69eafd82fdd241b629ae37ff080c67%22%7D&xxc=ad_ztc,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织扭伤护腕,未标注,TMT,HW55-T,171-33=138,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织扭伤护腕,未标注,SERUNA,HW55,1674-196=1484+547=2031,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织扭伤护腕2,一代,TMT,HW17,942-245=697,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,针织扭伤护腕2,二代,TMT,C-HW105,257-28=229,已量产,2025.12上架,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,毛巾护腕,一代,TMT,MJ11,39-6=33+5=38,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,毛巾护腕,一代,SERUNA,MJ11,,未知,,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,毛巾护腕,二代,SERUNA,MJ13,2,已量产,2026.4上架,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,冰感护腕,一代,TMT,HW01,0,已量产,清仓中,,,护腕货盘.xlsx,2026年4月
护腕,针织护腕,短款擦汗护腕,一代,TMT,HW06,0,已量产,清仓中,,,护腕货盘.xlsx,2026年4月
护腕,弹力网带,腱鞘炎腕带,一代,TMT,HH07,7270-916=6354,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,弹力网带,腱鞘炎腕带,一代,SERUNA,HH07,,未知,,,,护腕货盘.xlsx,2026年4月
护腕,弹力网带,腱鞘炎腕带,一代,ANTA,9826172526,5469-383=5086,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,弹力网带,腱鞘炎腕带,二代,TMT,HW77,0,已量产,2025.10上架,,,护腕货盘.xlsx,2026年4月
护腕,弹力网带,腱鞘炎腕带,二代,SERUNA,HW47,3225-323=2902+237=3139,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,弹力网带,腱鞘炎腕带,二代,JAFFICK,HW85,21-4=17,已量产,2025.10上架,,,护腕货盘.xlsx,2026年4月
护腕,弹力网带,腱鞘炎腕带,二代,ANTA,9825372525R,94-5=89,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,弹力网带,运动腕带,一代,TMT,B18,37-3=34,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,SBR骨折护腕,一代,TMT,HW09,1568-346=1222+99=1321,已量产,TMT二代,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,SBR骨折护腕,一代,SERUNA,HW09,,未知,,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,SBR骨折护腕,一代,JAFFICK,HW09,,未知,,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,SBR骨折护腕,二代半,TMT,HW50,0,已量产,清仓中,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,SBR骨折护腕,三代,TMT,HW21,947-220=727+19=746,已量产,TMT四代,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,SBR骨折护腕,三代,SERUNA,HW21,,未知,S4,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,SBR骨折护腕,三代,JAFFICK,HW21,,未知,,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,SBR骨折护腕,四代,TMT,HW33,0,已量产,TMT加长版 / 清仓中,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,短款骨折护腕,一代,TMT,HW39,2243-476=1767+36=1803,已量产,TMT六代,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,短款骨折护腕,一代,SERUNA,HW39,,未知,,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,短款骨折护腕,一代,JAFFICK,HW39,,未知,,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,短款骨折护腕,二代,TMT,HW63-K,1339-273=1066,已量产,2026.02上架,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,短款骨折护腕,二代,SERUNA,HW63,773-181=592+1395=1987,已量产,S7,,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,双绑带骨折护腕,一代,TMT,HW67,6-1=5,已量产,清仓中,等待外露支撑板开模后可升级,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,双绑带骨折护腕,一代,SERUNA,HW59,4-1=3,已量产,S6,等待外露支撑板开模后可升级,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,三绑带骨折护腕,一代,TMT,HW99-T/C-HW113,HW99-T：387-152=235 / C-HW113：251-74=177,已量产,HW99-T清仓中,等待外露支撑板开模后可升级,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,三绑带骨折护腕,一代,SERUNA,HW99,317-77=240,已量产,S8,等待外露支撑板开模后可升级,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,三绑带骨折护腕,一代,JAFFICK,HW95,64-24=40,已量产,2025.10上架,等待外露支撑板开模后可升级,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,旋钮护腕,一代,TMT,HW41,0,已量产,清仓中,等待JAFFICK上架，无问题后可跟进,,护腕货盘.xlsx,2026年4月
护腕,骨折护腕,旋钮护腕,二代,JAFFICK,HW101,381-109=272,已量产,2025.12上架,等待JAFFICK上架，无问题后可跟进,,护腕货盘.xlsx,2026年4月
护腕,健身护腕,单绑带健身护腕,一代,TMT,HW15,2865-186=2679,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,健身护腕,单绑带健身护腕,一代,ANTA,1825272523,0,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,健身护腕,单绑带健身护腕,二代,TMT,B51,0,已量产,清仓中,,,护腕货盘.xlsx,2026年4月
护腕,健身护腕,双绑带健身护腕,一代,TMT,B66,0,已量产,清仓中,,,护腕货盘.xlsx,2026年4月
护腕,健身护腕,双绑带健身护腕,一代,ANTA,9826172581,-1,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,健身护腕,SBR健身护腕,一代,TMT,BF29,589-77=512,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,健身护腕,SBR健身护腕,二代,TMT,HW75,2,已量产,2025.09上架,,,护腕货盘.xlsx,2026年4月
护腕,助力,全包助力钩,一代,TMT,ZL03,2839-808=2031,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,助力,半包助力钩,二代,TMT,ZL07,0,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,助力,助力带,一代,TMT,B59,886-92=794,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,助力,助力带,三代,TMT,ZL07,0,已量产,,,,护腕货盘.xlsx,2026年4月
护腕,早期清仓未配图护腕,助力带,三代,TMT,B73,0,已量产,,,,护腕货盘.xlsx,2026年4月
护膝,复合面料护膝,前绑,一代,TMT,C-HX97,342,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,复合面料护膝,前绑,一代,SERUNA,HX61,6922,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,复合面料护膝,前绑,一代,JAFFICK,C-HX93,115,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,复合面料护膝,前绑,二代,SERUNA,暂无货号,打样阶段,打样/概念,,,,护膝货盘.xlsx,2026年4月
护膝,复合面料护膝,双层前绑,一代,SERUNA,C-HX103,大货阶段,未知,2026.4.25,,,护膝货盘.xlsx,2026年4月
护膝,网孔织带护膝,交叉绑带,一代,TMT,HX18,3145,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,网孔织带护膝,交叉双绑带,二代,TMT,HX21,144,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,网孔织带护膝,交叉双绑带,二代,ANTA,1824572502,0,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,网孔织带护膝,加强支撑 / （反绑结构）,一代,SERUNA,HX43,204,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,健身护膝,缠绕式,一代,TMT,TB66,125,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,健身护膝,套筒式,未标注,ANTA,9826172582,91,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,短款保暖,一代,SERUNA,HX77,7,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,短款保暖,二代,SERUNA,HX83,1,已量产,增加羊毛含量,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,长款保暖,一代,SERUNA,HX77-C,6,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,开放结构,一代,SERUNA,HX87,90,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,羊毛保暖,一代,SERUNA,HX81,3,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,轻薄保暖,一代,TMT,TS27,0,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,轻薄保暖,一代,SERUNA,HX29-A,0,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,石墨烯轻薄保暖,一代,SERUNA,C-HX105,大货阶段,未知,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,蚕丝轻薄保暖,一代,SERUNA,暂无货号,打样阶段,打样/概念,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,网格保暖,一代,SERUNA,HX49,28,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,加绒保暖,一代,TMT,HX28,1,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,保暖护膝,支撑保暖,一代,SERUNA,HX51,12,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,SBR髌骨带,一代,TMT,T34,883,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,SBR髌骨带,一代,SERUNA,BG01,34,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,SBR髌骨带,一代,JAFFICK,C-BG09,大货阶段,未知,,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,透气SBR髌骨带,二代,TMT,FT37,55,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,压胶髌骨带,一代,SERUNA,BG05,1353,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,压胶髌骨带,一代,JAFFICK,C-BG11,大货中,未知,,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,针织髌骨带,一代,TMT,暂无,排单阶段,未知,2026.4.10,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,SBR双条,一代,TMT,FE36,2454,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,SBR双条,一代,SERUNA,BG03,83,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,SBR双条,一代,JAFFICK,C-BG07,大货阶段,未知,2026.4.30,,,护膝货盘.xlsx,2026年4月
护膝,髌 / 骨 / 带,SBR双条,一代,ANTA,9826172506,6263,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,防撞护膝,儿童运动,一代,TMT,K75,21,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,防撞护膝,儿童爬行护膝,一代,TMT,HX89,318,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,防撞护膝,儿童爬行护膝,一代,SERUNA,HX71,11,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,防撞护膝,针织防撞,一代,TMT,HX25,753,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,防撞护膝,开放式SBR防撞,一代,TMT,T22,566,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,SBR登山护膝,双绑带加压,一代,TMT,T67,302,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,SBR登山护膝,双绑带加压,一代,ANTA,9825172509,126,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,SBR登山护膝,三绑带加压 / （同侧）,一代,TMT,TF58,438,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,SBR登山护膝,三绑带加压 / （同侧）,一代,ANTA,9825172504,9,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,SBR登山护膝,三绑带加压 / （两侧）,二代,JAFFICK,C-HX101,48,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,SBR登山护膝,四绑带加压 / （同侧）,一代,TMT,T28,359,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,SBR登山护膝,四绑带加压 / （同侧）,一代,ANTA,9825172503,151,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,SBR登山护膝,四绑带加压 / （同侧）,二代,TMT,HX63,586,已量产,,,,护膝货盘.xlsx,2026年4月
护膝,SBR登山护膝,后窝镂空,一代,TMT,T82,0,已量产,,,,护膝货盘.xlsx,2026年4月
