临时编号,模块名,模块维度,归属品牌,一句话说明,来源SKU,状态,关键参数,适用品类,不适用场景,负责人,建议归入维度,收集来源,收集时间,确认状态
TMP-PAL-护腕-011,防滑（护腕-TFCC护腕）,功能,通用,在护腕TFCC护腕中出现的功能关键词，原文：参考tmt针织TFCC护腕增加防滑扣,护腕-TFCC护腕-,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-012,压胶（护腕-压胶TFCC护腕）,结构,TMT,在护腕压胶TFCC护腕一代中出现的结构关键词，原文：压胶TFCC护腕,HW53-T,已量产,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-013,压胶（护腕-压胶TFCC护腕）,结构,SERUNA,在护腕压胶TFCC护腕一代中出现的结构关键词，原文：压胶TFCC护腕,HW53,已量产,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-014,压胶（护腕-压胶TFCC护腕）,结构,JAFFICK,在护腕压胶TFCC护腕一代中出现的结构关键词，原文：压胶TFCC护腕,C-HW107,已量产,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-015,压胶（护腕-压胶TFCC护腕）,结构,ANTA,在护腕压胶TFCC护腕一代中出现的结构关键词，原文：压胶TFCC护腕,护腕-压胶TFCC护腕-一代,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-016,短款（护腕-短款擦汗护腕）,版型,TMT,在护腕短款擦汗护腕一代中出现的版型关键词，原文：短款擦汗护腕,HW06,已量产,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-017,短款（护腕-短款擦汗护腕）,版型,SERUNA,在护腕短款擦汗护腕一代中出现的版型关键词，原文：短款擦汗护腕,护腕-短款擦汗护腕-一代,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-018,短款（护腕-短款擦汗护腕）,版型,JAFFICK,在护腕短款擦汗护腕一代中出现的版型关键词，原文：短款擦汗护腕,护腕-短款擦汗护腕-一代,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-019,短款（护腕-短款擦汗护腕）,版型,ANTA,在护腕短款擦汗护腕一代中出现的版型关键词，原文：短款擦汗护腕,护腕-短款擦汗护腕-一代,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-020,绑带（护腕-双绑带骨折护腕）,结构,TMT,在护腕双绑带骨折护腕一代中出现的结构关键词，原文：双绑带骨折护腕,HW67,已量产,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-021,绑带（护腕-双绑带骨折护腕）,结构,SERUNA,在护腕双绑带骨折护腕一代中出现的结构关键词，原文：双绑带骨折护腕,HW59,已量产,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-022,绑带（护腕-双绑带骨折护腕）,结构,JAFFICK,在护腕双绑带骨折护腕一代中出现的结构关键词，原文：双绑带骨折护腕,护腕-双绑带骨折护腕-一代,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护腕-023,绑带（护腕-双绑带骨折护腕）,结构,ANTA,在护腕双绑带骨折护腕一代中出现的结构关键词，原文：双绑带骨折护腕,护腕-双绑带骨折护腕-一代,概念,,护腕,,党英轩,,货盘沉淀-护腕货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-001,前绑（护膝-前绑）,版型,TMT,在护膝前绑一代中出现的版型关键词，原文：前绑,C-HX97,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-002,前绑（护膝-前绑）,版型,SERUNA,在护膝前绑一代中出现的版型关键词，原文：前绑,HX61,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-003,前绑（护膝-前绑）,版型,JAFFICK,在护膝前绑一代中出现的版型关键词，原文：前绑,C-HX93,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-004,前绑（护膝-前绑）,版型,ANTA,在护膝前绑一代中出现的版型关键词，原文：前绑,护膝-前绑-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-005,双层（护膝-双层前绑）,版型,TMT,在护膝双层前绑一代中出现的版型关键词，原文：双层前绑,护膝-双层前绑-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-006,双层（护膝-双层前绑）,版型,SERUNA,在护膝双层前绑一代中出现的版型关键词，原文：双层前绑,C-HX103,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-007,双层（护膝-双层前绑）,版型,JAFFICK,在护膝双层前绑一代中出现的版型关键词，原文：双层前绑,护膝-双层前绑-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-008,双层（护膝-双层前绑）,版型,ANTA,在护膝双层前绑一代中出现的版型关键词，原文：双层前绑,护膝-双层前绑-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-009,绑带（护膝-交叉绑带）,结构,TMT,在护膝交叉绑带一代中出现的结构关键词，原文：交叉绑带,HX18,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-010,绑带（护膝-交叉绑带）,结构,SERUNA,在护膝交叉绑带一代中出现的结构关键词，原文：交叉绑带,护膝-交叉绑带-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-011,绑带（护膝-交叉绑带）,结构,JAFFICK,在护膝交叉绑带一代中出现的结构关键词，原文：交叉绑带,护膝-交叉绑带-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-012,绑带（护膝-交叉绑带）,结构,ANTA,在护膝交叉绑带一代中出现的结构关键词，原文：交叉绑带,护膝-交叉绑带-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-013,短款（护膝-短款保暖）,版型,TMT,在护膝短款保暖一代中出现的版型关键词，原文：短款保暖,护膝-短款保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-014,短款（护膝-短款保暖）,版型,SERUNA,在护膝短款保暖一代中出现的版型关键词，原文：短款保暖,HX77,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-015,短款（护膝-短款保暖）,版型,JAFFICK,在护膝短款保暖一代中出现的版型关键词，原文：短款保暖,护膝-短款保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-016,短款（护膝-短款保暖）,版型,ANTA,在护膝短款保暖一代中出现的版型关键词，原文：短款保暖,护膝-短款保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-017,羊毛（护膝-短款保暖）,材料,SERUNA,在护膝短款保暖二代中出现的材料关键词，原文：增加羊毛含量,HX83,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-018,长款（护膝-长款保暖）,版型,TMT,在护膝长款保暖一代中出现的版型关键词，原文：长款保暖,护膝-长款保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-019,长款（护膝-长款保暖）,版型,SERUNA,在护膝长款保暖一代中出现的版型关键词，原文：长款保暖,HX77-C,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-020,长款（护膝-长款保暖）,版型,JAFFICK,在护膝长款保暖一代中出现的版型关键词，原文：长款保暖,护膝-长款保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-021,长款（护膝-长款保暖）,版型,ANTA,在护膝长款保暖一代中出现的版型关键词，原文：长款保暖,护膝-长款保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-022,羊毛（护膝-羊毛保暖）,材料,TMT,在护膝羊毛保暖一代中出现的材料关键词，原文：羊毛保暖,护膝-羊毛保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-023,羊毛（护膝-羊毛保暖）,材料,JAFFICK,在护膝羊毛保暖一代中出现的材料关键词，原文：羊毛保暖,护膝-羊毛保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-024,羊毛（护膝-羊毛保暖）,材料,ANTA,在护膝羊毛保暖一代中出现的材料关键词，原文：羊毛保暖,护膝-羊毛保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-025,石墨烯（护膝-石墨烯轻薄保暖）,材料,TMT,在护膝石墨烯轻薄保暖一代中出现的材料关键词，原文：石墨烯轻薄保暖,护膝-石墨烯轻薄保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-026,石墨烯（护膝-石墨烯轻薄保暖）,材料,SERUNA,在护膝石墨烯轻薄保暖一代中出现的材料关键词，原文：石墨烯轻薄保暖,C-HX105,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-027,石墨烯（护膝-石墨烯轻薄保暖）,材料,JAFFICK,在护膝石墨烯轻薄保暖一代中出现的材料关键词，原文：石墨烯轻薄保暖,护膝-石墨烯轻薄保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-028,石墨烯（护膝-石墨烯轻薄保暖）,材料,ANTA,在护膝石墨烯轻薄保暖一代中出现的材料关键词，原文：石墨烯轻薄保暖,护膝-石墨烯轻薄保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-029,蚕丝（护膝-蚕丝轻薄保暖）,材料,TMT,在护膝蚕丝轻薄保暖一代中出现的材料关键词，原文：蚕丝轻薄保暖,护膝-蚕丝轻薄保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-030,蚕丝（护膝-蚕丝轻薄保暖）,材料,SERUNA,在护膝蚕丝轻薄保暖一代中出现的材料关键词，原文：蚕丝轻薄保暖,暂无货号,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-031,蚕丝（护膝-蚕丝轻薄保暖）,材料,JAFFICK,在护膝蚕丝轻薄保暖一代中出现的材料关键词，原文：蚕丝轻薄保暖,护膝-蚕丝轻薄保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-032,蚕丝（护膝-蚕丝轻薄保暖）,材料,ANTA,在护膝蚕丝轻薄保暖一代中出现的材料关键词，原文：蚕丝轻薄保暖,护膝-蚕丝轻薄保暖-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-033,透气（护膝-透气SBR髌骨带）,功能,TMT,在护膝透气SBR髌骨带二代中出现的功能关键词，原文：透气SBR髌骨带,FT37,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-034,透气（护膝-透气SBR髌骨带）,功能,SERUNA,在护膝透气SBR髌骨带二代中出现的功能关键词，原文：透气SBR髌骨带,护膝-透气SBR髌骨带-二代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-035,透气（护膝-透气SBR髌骨带）,功能,JAFFICK,在护膝透气SBR髌骨带二代中出现的功能关键词，原文：透气SBR髌骨带,护膝-透气SBR髌骨带-二代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-036,透气（护膝-透气SBR髌骨带）,功能,ANTA,在护膝透气SBR髌骨带二代中出现的功能关键词，原文：透气SBR髌骨带,护膝-透气SBR髌骨带-二代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-037,压胶（护膝-压胶髌骨带）,结构,TMT,在护膝压胶髌骨带一代中出现的结构关键词，原文：压胶髌骨带,护膝-压胶髌骨带-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-038,压胶（护膝-压胶髌骨带）,结构,SERUNA,在护膝压胶髌骨带一代中出现的结构关键词，原文：压胶髌骨带,BG05,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-039,压胶（护膝-压胶髌骨带）,结构,JAFFICK,在护膝压胶髌骨带一代中出现的结构关键词，原文：压胶髌骨带,C-BG11,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-040,压胶（护膝-压胶髌骨带）,结构,ANTA,在护膝压胶髌骨带一代中出现的结构关键词，原文：压胶髌骨带,护膝-压胶髌骨带-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-041,加压（护膝-双绑带加压）,功能,TMT,在护膝双绑带加压一代中出现的功能关键词，原文：双绑带加压,T67,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-042,加压（护膝-双绑带加压）,功能,SERUNA,在护膝双绑带加压一代中出现的功能关键词，原文：双绑带加压,护膝-双绑带加压-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-043,加压（护膝-双绑带加压）,功能,JAFFICK,在护膝双绑带加压一代中出现的功能关键词，原文：双绑带加压,护膝-双绑带加压-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-044,加压（护膝-双绑带加压）,功能,ANTA,在护膝双绑带加压一代中出现的功能关键词，原文：双绑带加压,9825172509,已量产,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-045,后绑（护膝-后绑式轻薄）,版型,TMT,在护膝后绑式轻薄一代中出现的版型关键词，原文：后绑式轻薄,护膝-后绑式轻薄-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-046,后绑（护膝-后绑式轻薄）,版型,SERUNA,在护膝后绑式轻薄一代中出现的版型关键词，原文：后绑式轻薄,护膝-后绑式轻薄-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-047,后绑（护膝-后绑式轻薄）,版型,JAFFICK,在护膝后绑式轻薄一代中出现的版型关键词，原文：后绑式轻薄,护膝-后绑式轻薄-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护膝-048,后绑（护膝-后绑式轻薄）,版型,ANTA,在护膝后绑式轻薄一代中出现的版型关键词，原文：后绑式轻薄,护膝-后绑式轻薄-一代,概念,,护膝,,党英轩,,货盘沉淀-护膝货盘.xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-001,绑带（护踝-轻薄扭伤 / （无绑带））,结构,TMT,在护踝轻薄扭伤 / （无绑带）暂无中出现的结构关键词，原文：轻薄扭伤 / （无绑带）,护踝-轻薄扭伤 / （无绑带）-暂无,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-002,无绑带（护踝-轻薄扭伤 / （无绑带））,版型,TMT,在护踝轻薄扭伤 / （无绑带）暂无中出现的版型关键词，原文：轻薄扭伤 / （无绑带）,护踝-轻薄扭伤 / （无绑带）-暂无,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-003,绑带（护踝-轻薄扭伤 / （无绑带））,结构,SERUNA,在护踝轻薄扭伤 / （无绑带）暂无中出现的结构关键词，原文：轻薄扭伤 / （无绑带）,护踝-轻薄扭伤 / （无绑带）-暂无,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-004,无绑带（护踝-轻薄扭伤 / （无绑带））,版型,SERUNA,在护踝轻薄扭伤 / （无绑带）暂无中出现的版型关键词，原文：轻薄扭伤 / （无绑带）,护踝-轻薄扭伤 / （无绑带）-暂无,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-005,绑带（护踝-轻薄扭伤 / （无绑带））,结构,JAFFICK,在护踝轻薄扭伤 / （无绑带）暂无中出现的结构关键词，原文：轻薄扭伤 / （无绑带）,护踝-轻薄扭伤 / （无绑带）-暂无,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-006,无绑带（护踝-轻薄扭伤 / （无绑带））,版型,JAFFICK,在护踝轻薄扭伤 / （无绑带）暂无中出现的版型关键词，原文：轻薄扭伤 / （无绑带）,护踝-轻薄扭伤 / （无绑带）-暂无,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-007,绑带（护踝-轻薄扭伤 / （无绑带））,结构,ANTA,在护踝轻薄扭伤 / （无绑带）暂无中出现的结构关键词，原文：轻薄扭伤 / （无绑带）,护踝-轻薄扭伤 / （无绑带）-暂无,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-008,无绑带（护踝-轻薄扭伤 / （无绑带））,版型,ANTA,在护踝轻薄扭伤 / （无绑带）暂无中出现的版型关键词，原文：轻薄扭伤 / （无绑带）,护踝-轻薄扭伤 / （无绑带）-暂无,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-009,硅胶（护踝-轻薄扭伤 / （无绑带））,材料,通用,在护踝轻薄扭伤 / （无绑带）中出现的材料关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-010,热压（护踝-轻薄扭伤 / （无绑带））,结构,通用,在护踝轻薄扭伤 / （无绑带）中出现的结构关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-011,压胶（护踝-轻薄扭伤 / （无绑带））,结构,通用,在护踝轻薄扭伤 / （无绑带）中出现的结构关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-012,缝合线（护踝-轻薄扭伤 / （无绑带））,结构,通用,在护踝轻薄扭伤 / （无绑带）中出现的结构关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-013,压胶条（护踝-轻薄扭伤 / （无绑带））,结构,通用,在护踝轻薄扭伤 / （无绑带）中出现的结构关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-014,内折（护踝-轻薄扭伤 / （无绑带））,结构,通用,在护踝轻薄扭伤 / （无绑带）中出现的结构关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-015,硅胶垫（护踝-轻薄扭伤 / （无绑带））,结构,通用,在护踝轻薄扭伤 / （无绑带）中出现的结构关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-016,防滑（护踝-轻薄扭伤 / （无绑带））,功能,通用,在护踝轻薄扭伤 / （无绑带）中出现的功能关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-017,透气（护踝-轻薄扭伤 / （无绑带））,功能,通用,在护踝轻薄扭伤 / （无绑带）中出现的功能关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-018,加压（护踝-轻薄扭伤 / （无绑带））,功能,通用,在护踝轻薄扭伤 / （无绑带）中出现的功能关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-019,防滑点阵（护踝-轻薄扭伤 / （无绑带））,功能,通用,在护踝轻薄扭伤 / （无绑带）中出现的功能关键词，原文：①足底防滑点阵 / ②透气网眼面料 / ③缝合线增加压胶条，边缘内折 / ④增加硅胶垫 / ⑤参考美津浓热压工艺及面料,护踝-轻薄扭伤 / （无绑带）-,概念,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
TMP-PAL-护踝-020,透气（护踝-轻薄扭伤 / （绑带透气款））,功能,TMT,在护踝轻薄扭伤 / （绑带透气款）一代中出现的功能关键词，原文：轻薄扭伤 / （绑带透气款）,HH47,已量产,,护踝,,党英轩,,货盘沉淀-护踝货盘(5).xlsx,2026-05-20,待负责人确认
